step,variant,removal,tabular_feature_count,lstm_static_feature_count,TA_RMSE,TA_MAE,TA_bias,HM_RMSE,HM_MAE,HM_bias,competition_score,TA_oof_RMSE,HM_oof_RMSE,delta_previous_TA_RMSE,delta_baseline_TA_RMSE,delta_previous_HM_RMSE,delta_baseline_HM_RMSE,delta_previous_competition_score,delta_baseline_competition_score,improved_vs_previous
0,step0_current_baseline,none,40,8,1.7435232403994398,1.3592219718943575,0.5688485355504754,7.441432303402766,5.877622765764551,1.3070508415812756,2.4876664707397165,2.8517332651662874,8.958379853043372,,0.0,,0.0,,0.0,False
1,step1_drop_ridge_pair_features,Ridge pair features removed; no effect because Ridge is absent from the best ensemble,40,8,1.7435232403994398,1.3592219718943575,0.5688485355504754,7.441432303402766,5.877622765764551,1.3070508415812756,2.4876664707397165,2.8517332651662874,8.958379853043372,0.0,0.0,0.0,0.0,0.0,0.0,False
2,step2_drop_redundant_calendar_solar,"month,dayofyear,solar_azimuth,solar_declination,local_solar_time,equation_of_time",34,8,1.7985760057940372,1.3990221458258922,0.7404958063218773,7.229786134839665,5.693583527382826,0.37211169438534286,2.5215546192780036,2.912375076768346,8.968645672322031,0.05505276539459736,0.05505276539459736,-0.21164616856310126,-0.21164616856310126,0.033888148538287144,0.033888148538287144,False
3,step3_drop_lstm_missing_fraction,sequence_missing_fraction,34,7,1.6991202353479666,1.315374122571368,0.5995010159755199,7.181600285592533,5.642222797712394,0.20519667961998447,2.41728026390722,2.953360178910099,8.829183438030983,-0.09945577044607057,-0.04440300505147321,-0.04818584924713143,-0.2598320178102327,-0.10427435537078367,-0.07038620683249652,True
4,step4_drop_lstm_seasonal_azimuth,"doy_sin,doy_cos,solar_azimuth from LSTM static inputs",34,4,1.8316574971478743,1.4364152941115689,0.778743356755014,7.162979760007936,5.651287537534952,0.14138979545271216,2.5479554731486678,2.98610755688114,8.769881151484034,0.13253726179990766,0.08813425674843445,-0.01862052558459748,-0.27845254339483017,0.13067520924144782,0.0602890024089513,False
5,step5_reduce_catboost_pair_features,CatBoost standardized pairs reduced from 11 to 5,28,4,1.9133824609376293,1.5215034910720178,0.9092950657562928,7.283954135072544,5.730143357203531,0.31131119792463846,2.641777874444884,2.9603338059968394,8.947820102030928,0.08172496378975502,0.16985922053818947,0.12097437506460818,-0.157478168330222,0.0938224012962161,0.1541114037051674,False
