step,variant,removal,tabular_feature_count,lstm_static_feature_count,TA_RMSE,TA_MAE,TA_bias,HM_RMSE,HM_MAE,HM_bias,competition_score,TA_oof_RMSE,HM_oof_RMSE,delta_previous_TA_RMSE,delta_baseline_TA_RMSE,delta_previous_HM_RMSE,delta_baseline_HM_RMSE,delta_previous_competition_score,delta_baseline_competition_score,improved_vs_previous,seed
0,step0_current_baseline,none,40,8,1.7435232403994398,1.3592219718943577,0.5688485355504754,7.441432303402766,5.877622765764551,1.3070508415812756,2.4876664707397165,2.8517332651662874,8.958379853043372,,0.0,,0.0,,0.0,False,42
3,step3_drop_lstm_missing_fraction,sequence_missing_fraction,34,7,1.6991202353479666,1.315374122571368,0.5995010159755199,7.181600285592533,5.642222797712394,0.2051966796199844,2.41728026390722,2.953360178910099,8.829183438030983,-0.0994557704460705,-0.0444030050514732,-0.0481858492471314,-0.2598320178102327,-0.1042743553707836,-0.0703862068324965,True,42
0,step0_current_baseline,none,40,8,1.740573695441966,1.3496807428054067,0.6104112073147465,7.26287249319956,5.730167461242017,0.1891774365291591,2.466860944761922,2.8009804232807736,8.992773052909383,,0.0,,0.0,,0.0,False,43
3,step3_drop_lstm_missing_fraction,sequence_missing_fraction,34,7,1.8485217956433029,1.4331891151890574,0.851437273733718,7.654704325722547,5.997361312110711,0.4331659597574682,2.6139922282155577,2.949276878494365,8.847087421524188,0.1079481002013369,0.1079481002013369,0.3918318325229872,0.3918318325229872,0.1471312834536355,0.1471312834536355,False,43
0,step0_current_baseline,none,40,8,1.7646795814142893,1.351690344033073,0.6390827786669239,7.20892079501616,5.675952775531677,0.90421118637137,2.4855716609159053,2.8732801662285987,9.141926458210731,,0.0,,0.0,,0.0,False,44
3,step3_drop_lstm_missing_fraction,sequence_missing_fraction,34,7,1.7781378769465654,1.38992232140424,0.7347153381324661,7.528026474487444,5.900648614574839,0.2933426829542193,2.5309405243953096,2.8798633197991546,8.964173315834843,0.0134582955322761,0.0134582955322761,0.3191056794712832,0.3191056794712832,0.0453688634794042,0.0453688634794042,False,44
