STN_ID,latitude,longitude,altitude,VI004_row,VI004_col,VI005_row,VI005_col,VI006_row,VI006_col,VI008_row,VI008_col,NR013_row,NR013_col,NR016_row,NR016_col,SW038_row,SW038_col,WV063_row,WV063_col,WV069_row,WV069_col,WV073_row,WV073_col,IR087_row,IR087_col,IR096_row,IR096_col,IR105_row,IR105_col,IR112_row,IR112_col,IR123_row,IR123_col,IR133_row,IR133_col
131,36.63924,127.44066,58.7,1045.718,1025.41,1045.718,1025.41,2091.936,2051.32,1045.718,1025.41,522.609,512.455,522.609,512.455,522.609,512.455,522.609,512.455,522.609,512.455,522.609,512.455,522.609,512.455,522.609,512.455,522.609,512.455,522.609,512.455,522.609,512.455,522.609,512.455
133,36.37199,127.3721,67.79,1074.813,1019.915,1074.813,1019.915,2150.125,2040.331,1074.813,1019.915,537.156,509.708,537.156,509.708,537.156,509.708,537.156,509.708,537.156,509.708,537.156,509.708,537.156,509.708,537.156,509.708,537.156,509.708,537.156,509.708,537.156,509.708,537.156,509.708
135,36.22025,127.99458,244.98,1090.13,1074.945,1090.13,1074.945,2180.759,2150.39,1090.13,1074.945,544.815,537.222,544.815,537.222,544.815,537.222,544.815,537.222,544.815,537.222,544.815,537.222,544.815,537.222,544.815,537.222,544.815,537.222,544.815,537.222,544.815,537.222,544.815,537.222
136,36.57293,128.70733,141.26,1050.038,1136.324,1050.038,1136.324,2100.576,2273.148,1050.038,1136.324,524.769,567.912,524.769,567.912,524.769,567.912,524.769,567.912,524.769,567.912,524.769,567.912,524.769,567.912,524.769,567.912,524.769,567.912,524.769,567.912,524.769,567.912,524.769,567.912
137,36.40837,128.15741,96.58,1069.347,1088.714,1069.347,1088.714,2139.194,2177.928,1069.347,1088.714,534.423,544.107,534.423,544.107,534.423,544.107,534.423,544.107,534.423,544.107,534.423,544.107,534.423,544.107,534.423,544.107,534.423,544.107,534.423,544.107,534.423,544.107,534.423,544.107
138,36.03201,129.38002,3.94,1106.462,1197.615,1106.462,1197.615,2213.425,2395.729,1106.462,1197.615,552.981,598.557,552.981,598.557,552.981,598.557,552.981,598.557,552.981,598.557,552.981,598.557,552.981,598.557,552.981,598.557,552.981,598.557,552.981,598.557,552.981,598.557,552.981,598.557
140,36.0053,126.76135,27.85,1115.338,966.697,1115.338,966.697,2231.176,1933.894,1115.338,966.697,557.419,483.098,557.419,483.098,557.419,483.098,557.419,483.098,557.419,483.098,557.419,483.098,557.419,483.098,557.419,483.098,557.419,483.098,557.419,483.098,557.419,483.098,557.419,483.098
143,35.87797,128.65296,54.27,1125.604,1134.07,1125.604,1134.07,2251.709,2268.639,1125.604,1134.07,562.552,566.785,562.552,566.785,562.552,566.785,562.552,566.785,562.552,566.785,562.552,566.785,562.552,566.785,562.552,566.785,562.552,566.785,562.552,566.785,562.552,566.785,562.552,566.785
146,35.84092,127.11718,60.44,1132.828,998.35,1132.828,998.35,2266.155,1997.2,1132.828,998.35,566.164,498.925,566.164,498.925,566.164,498.925,566.164,498.925,566.164,498.925,566.164,498.925,566.164,498.925,566.164,498.925,566.164,498.925,566.164,498.925,566.164,498.925,566.164,498.925
152,35.58237,129.33469,81.14,1155.455,1195.654,1155.455,1195.654,2311.411,2391.807,1155.455,1195.654,577.478,597.577,577.478,597.577,577.478,597.577,577.478,597.577,577.478,597.577,577.478,597.577,577.478,597.577,577.478,597.577,577.478,597.577,577.478,597.577,577.478,597.577,577.478,597.577
155,35.17019,128.57282,34.97,1202.777,1129.46,1202.777,1129.46,2406.054,2259.42,1202.777,1129.46,601.139,564.48,601.139,564.48,601.139,564.48,601.139,564.48,601.139,564.48,601.139,564.48,601.139,564.48,601.139,564.48,601.139,564.48,601.139,564.48,601.139,564.48,601.139,564.48
156,35.17294,126.89156,70.28,1205.729,979.197,1205.729,979.197,2411.959,1958.894,1205.729,979.197,602.615,489.348,602.615,489.348,602.615,489.348,602.615,489.348,602.615,489.348,602.615,489.348,602.615,489.348,602.615,489.348,602.615,489.348,602.615,489.348,602.615,489.348,602.615,489.348
159,35.10468,129.03203,69.56,1208.468,1170.756,1208.468,1170.756,2417.436,2342.012,1208.468,1170.756,603.984,585.128,603.984,585.128,603.984,585.128,603.984,585.128,603.984,585.128,603.984,585.128,603.984,585.128,603.984,585.128,603.984,585.128,603.984,585.128,603.984,585.128,603.984,585.128
162,34.84541,128.43561,31.24,1238.519,1118.276,1238.519,1118.276,2477.539,2237.052,1238.519,1118.276,619.01,558.888,619.01,558.888,619.01,558.888,619.01,558.888,619.01,558.888,619.01,558.888,619.01,558.888,619.01,558.888,619.01,558.888,619.01,558.888,619.01,558.888,619.01,558.888
165,34.81732,126.38151,44.7,1244.827,933.788,1244.827,933.788,2490.154,1868.077,1244.827,933.788,622.163,466.644,622.163,466.644,622.163,466.644,622.163,466.644,622.163,466.644,622.163,466.644,622.163,466.644,622.163,466.644,622.163,466.644,622.163,466.644,622.163,466.644,622.163,466.644
168,34.73929,127.74063,65.93,1251.711,1056.113,1251.711,1056.113,2503.921,2112.727,1251.711,1056.113,625.605,527.807,625.605,527.807,625.605,527.807,625.605,527.807,625.605,527.807,625.605,527.807,625.605,527.807,625.605,527.807,625.605,527.807,625.605,527.807,625.605,527.807,625.605,527.807
169,34.68719,125.45105,75.12,1258.923,850.066,1258.923,850.066,2518.347,1700.631,1258.923,850.066,629.212,424.783,629.212,424.783,629.212,424.783,629.212,424.783,629.212,424.783,629.212,424.783,629.212,424.783,629.212,424.783,629.212,424.783,629.212,424.783,629.212,424.783,629.212,424.783
170,34.3959,126.70182,35.37,1290.585,962.979,1290.585,962.979,2581.67,1926.458,1290.585,962.979,645.042,481.239,645.042,481.239,645.042,481.239,645.042,481.239,645.042,481.239,645.042,481.239,645.042,481.239,645.042,481.239,645.042,481.239,645.042,481.239,645.042,481.239,645.042,481.239
172,35.34824,126.599,52.42,1186.893,952.903,1186.893,952.903,2374.287,1906.305,1186.893,952.903,593.197,476.201,593.197,476.201,593.197,476.201,593.197,476.201,593.197,476.201,593.197,476.201,593.197,476.201,593.197,476.201,593.197,476.201,593.197,476.201,593.197,476.201,593.197,476.201
174,35.0204,127.3694,165.0,1221.734,1022.192,1221.734,1022.192,2443.968,2044.883,1221.734,1022.192,610.617,510.846,610.617,510.846,610.617,510.846,610.617,510.846,610.617,510.846,610.617,510.846,610.617,510.846,610.617,510.846,610.617,510.846,610.617,510.846,610.617,510.846,610.617,510.846
177,36.65759,126.68772,27.74,1044.603,959.59,1044.603,959.59,2089.705,1919.681,1044.603,959.59,522.051,479.545,522.051,479.545,522.051,479.545,522.051,479.545,522.051,479.545,522.051,479.545,522.051,479.545,522.051,479.545,522.051,479.545,522.051,479.545,522.051,479.545,522.051,479.545
181,36.63994,127.38458,33.55,1045.728,1020.508,1045.728,1020.508,2091.957,2041.516,1045.728,1020.508,522.614,510.004,522.614,510.004,522.614,510.004,522.614,510.004,522.614,510.004,522.614,510.004,522.614,510.004,522.614,510.004,522.614,510.004,522.614,510.004,522.614,510.004,522.614,510.004
